States/UTs,Number of Households surveyed,Number of Women age 15-49 years interviewed,Population below age 15 years (%),Women (age 15-49) who are literate4 (%),Men (age 15-49) who are literate4 (%),Women (age 15-49)  with 10 or more years of schooling (%),Men (age 15-49)  with 10 or more years of schooling (%),Men age 25-29 years married before age 21 years (%),Infant mortality rate (per 1000 live births),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - IUD/PPIUD (%),Mothers who had at least 4 antenatal care visits  (for last birth in the 5 years before the survey) (%),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (for last birth in the 5 years before the survey) (%),Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Institutional births (in the 5 years before the survey) (%),Institutional births in public facility (in the 5 years before the survey) (%),Births delivered by caesarean section (in the 5 years before the survey) (%),Births in a private health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Births in a public health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),Children age 12-23 months who have received BCG (%),Children age 12-23 months who have received 3 doses of polio vaccine13 (%),Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),Children age 9-35 months who received a vitamin A dose in the last 6 months (%),Children age 12-23 months who received most of their vaccinations in a public health facility (%),Children age 12-23 months who received most of their vaccinations in a private health facility (%),Children under age 3 years breastfed within one hour of birth15 (%),Children under age 6 months exclusively breastfed16 (%),Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),"Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)","Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)","Total children age 6-23 months receiving an adequate diet16, 17  (%)",Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%),Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%),Women (age 15-49 years) who have comprehensive knowledge24 of HIV/AIDS (%),Currently married women (age 15-49 years) who usually participate in three household decisions25 (%),Women (age 15-49 years) having a mobile phone that they themselves use (%),,,,
India,636699,724115,26.52,71.46,84.37,41.04,50.21,17.67,35.2,2.11,58.13,44.07,79.06,88.59,61.91,21.5,47.37,14.31,76.44,83.79,95.2,80.45,86.74,87.85,31.88,36.4,83.89,71.2,94.53,4.17,41.75,63.72,45.91,11.05,12.72,11.3,35.47,32.11,3.43,52.15,25.04,31.13,21.58,88.7,53.95,,,,
Andaman & Nicobar Islands,2624,2397,20.79,85.97,92.53,52.47,52.28,7.08,20.64,3.89,83.37,80.94,90.97,98.95,87.27,29.86,79.17,23.63,77.78,95.99,98.17,80.88,92.64,82.05,31.91,0.29,85.41,85.95,94.89,3.21,46.86,73.26,51.03,18.49,15.805,19.47,22.47,23.65,5.42,53.66,16.06,27.09,14.89,94.48,80.83,,,,
Andhra Pradesh,11346,10975,22.19,68.64,79.48,39.63,47.91,14.52,30.25,0.15,67.46,70.29,92.32,96.51,50.37,42.44,63.01,26.55,73.02,87.95,94.59,74.96,88.37,87.07,30.01,75.46,85.32,80.28,94.15,4.28,52.04,68.04,50.77,8.22,12.08,9.31,31.16,29.63,2.67,53.71,16.2,18.67,24.56,84.05,48.94,,,,
Arunachal Pradesh,18268,19765,27.05,73.78,86.69,39.36,48.18,20.84,12.87,6.22,36.51,23.8,56.49,79.18,74.84,14.76,47.27,16.99,64.87,76.39,95.39,69.02,77.65,80.72,27.39,31.97,72.99,69.74,97.58,0.66,52.01,63.43,48.35,23.82,13.07,21.99,27.98,15.41,4,27.86,21.44,24.94,12.28,87.03,76.36,,,,
Assam,30119,34979,28.31,77.2,84.31,29.57,35.46,21.83,31.93,2.93,50.7,47.47,69.88,84.09,74.41,18.14,70.62,15.19,66.44,71.8,92.51,73.4,81.68,82.78,19.36,45.4,75.05,58.18,95.58,2.29,49.09,63.56,51.7,8.1,5.43,7.96,35.29,32.78,4.85,54.21,35.99,39.63,19.22,92.08,57.24,,,,
Bihar,35834,42483,24.12,57.78,78.5,28.83,42.8,30.47,46.76,0.76,70.26,17.96,59.3,76.2,56.91,9.71,39.64,3.62,70.96,82.69,95.52,75.54,84.96,85.73,29.86,3.35,82.26,56.01,96.6,2.2,31.11,58.93,39,10.81,11.54,10.91,42.94,41.03,2.41,63.08,29.45,34.83,10.33,86.53,51.36,,,,
Chandigarh,761,746,23.29,82.96,94.8,59.61,64.48,15.34,26.31305556,4.24,78.74,73.91,89.34,96.87,83.24,31.3,44.28,30.35,80.93,82.77,96.76,80.93,87.9,87.9,14.99,84.94,84.94,72.57,92.88,7.12,63.72,64.55,51.03,22.7,15.805,18.97,25.3,20.56,1.85,48.08638889,8.08,28.21,20.33,94.57,70,,,,
Chhattisgarh,24550,28468,25.41,74.62,87.26,36.89,41.45,16.17,44.24,2.84,60.12,44.94,81.67,85.72,70.01,15.2,57.01,8.91,79.74,84.79,96.44,84.22,87.45,90.24,30.36,50.4,85.95,84.52,96.63,3.09,32.24,80.35,41.31,9.67,2.55,9.28,34.6,31.33,3.98,51.79,26.99,31.45,23.05,92.66,40.74,,,,
Dadra and Nagar Haveli & Daman and Diu,2676,2713,25.43,77.26,93.43,35.75,49.4,12.58,31.84,2.22,86.18,59.76,90.95,96.52,71.9,22.86,42.47,17.25,94.88,93.37,98.07,96.11,97.2,96.2,44.19,3.69,93.12,86.16,97.33,2.67,25.93,79.36,43.3,10.7,3.97,10.22,39.42,38.7,1.85,60.66,24.62,36.99,25.26,91.85,60.54,,,,
Goa,1856,2030,19.09,92.96,96.25,71.5,76.59,8.92,5.63,2.38,93,87.49,96.69,99.73,56.18,39.46,50,31.48,81.94,90.98,97.89,88.35,90.77,92.9,21.72,6.3,92.84,91.94,92.74,7.26,61.63,61.37,51.03,20.24,15.805,21.54,25.77,24,2.76,40.99,12,15.77,23.86,93.13,91.18,,,,
